Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_02_ProductLines,Chrome 62.0.3202.94,,2017-12-05 18:22:46,2017-12-05 18:23:50,"1m - 4,250s",PASSED
,,,,,,
Test Cases/02_ProductLines/02a_Page_ProductLines-List/TC_02a1 PLList-Verifica Intestazioni,Chrome 62.0.3202.94,Verifica la corretta esistenza delle intestazioni di colonna per la pagina PL,2017-12-05 18:22:46,2017-12-05 18:23:05,"19,139s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:22:48,2017-12-05 18:23:01,"13,219s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,Verifica le intestazioni della tabella,2017-12-05 18:23:01,2017-12-05 18:23:01,"0,067s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:01,2017-12-05 18:23:03,"1,782s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:23:03,2017-12-05 18:23:03,"0,075s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:03,2017-12-05 18:23:03,"0,209s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:23:03,2017-12-05 18:23:03,"0,053s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:03,2017-12-05 18:23:04,"0,253s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:23:04,2017-12-05 18:23:04,"0,070s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:04,2017-12-05 18:23:04,"0,190s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:23:04,2017-12-05 18:23:04,"0,073s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:04,2017-12-05 18:23:04,"0,258s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:23:04,2017-12-05 18:23:04,"0,070s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:04,2017-12-05 18:23:04,"0,175s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:23:04,2017-12-05 18:23:05,"0,884s",PASSED
,,,,,,
Test Cases/02_ProductLines/02a_Page_ProductLines-List/TC_02a2 PLList-Verifica Select by Name,Chrome 62.0.3202.94,,2017-12-05 18:23:05,2017-12-05 18:23:36,"30,830s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:23:06,2017-12-05 18:23:16,"9,308s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:23:16,2017-12-05 18:23:16,"0,332s",PASSED
click,Chrome 62.0.3202.94,Seleziona e verifica risutato selezione,2017-12-05 18:23:16,2017-12-05 18:23:16,"0,334s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:16,2017-12-05 18:23:17,"0,340s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:17,2017-12-05 18:23:17,"0,193s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:17,2017-12-05 18:23:17,"0,148s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:17,2017-12-05 18:23:17,"0,200s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:17,2017-12-05 18:23:17,"0,167s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:23:17,2017-12-05 18:23:17,"0,143s",PASSED
Statement - sleep(1000),Chrome 62.0.3202.94,,2017-12-05 18:23:17,2017-12-05 18:23:18,"1,002s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:23:18,2017-12-05 18:23:19,"0,233s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:19,2017-12-05 18:23:19,"0,171s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:19,2017-12-05 18:23:19,"0,224s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:19,2017-12-05 18:23:19,"0,136s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:19,2017-12-05 18:23:19,"0,146s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:19,2017-12-05 18:23:19,"0,152s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:23:19,2017-12-05 18:23:20,"0,075s",PASSED
Statement - sleep(1000),Chrome 62.0.3202.94,,2017-12-05 18:23:20,2017-12-05 18:23:21,"1,002s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:23:21,2017-12-05 18:23:21,"0,245s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:21,2017-12-05 18:23:21,"0,168s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:21,2017-12-05 18:23:21,"0,121s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:21,2017-12-05 18:23:21,"0,173s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:21,2017-12-05 18:23:21,"0,129s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:21,2017-12-05 18:23:22,"0,143s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:23:22,2017-12-05 18:23:22,"0,081s",PASSED
Statement - sleep(1000),Chrome 62.0.3202.94,,2017-12-05 18:23:22,2017-12-05 18:23:23,"1,001s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:23:23,2017-12-05 18:23:23,"0,243s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:23,2017-12-05 18:23:23,"0,167s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:23,2017-12-05 18:23:23,"0,133s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:23,2017-12-05 18:23:23,"0,176s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:23,2017-12-05 18:23:24,"0,211s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:23:24,2017-12-05 18:23:24,"0,149s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:23:24,2017-12-05 18:23:24,"0,087s",PASSED
