Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_11_Bens,Chrome 62.0.3202.94,,2017-12-05 18:29:58,2017-12-05 18:30:12,"13,884s",FAILED
,,,,,,
Test Cases/11_Bens/11b_BensNew/TC_11b1_BensNew - Verifica Intestazioni,Chrome 62.0.3202.94,,2017-12-05 18:29:58,2017-12-05 18:30:11,"12,668s",FAILED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:29:59,2017-12-05 18:30:10,"10,313s",PASSED
Statement - viewPort = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getViewportWidth(),Chrome 62.0.3202.94,,2017-12-05 18:30:10,2017-12-05 18:30:10,"0,031s",PASSED
Statement - If (viewPort < 1400),Chrome 62.0.3202.94,,2017-12-05 18:30:10,2017-12-05 18:30:10,"0,154s",PASSED
focus,Chrome 62.0.3202.94,,2017-12-05 18:30:10,2017-12-05 18:30:10,"0,148s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:30:10,2017-12-05 18:30:10,"0,149s",PASSED
focus,Chrome 62.0.3202.94,,2017-12-05 18:30:10,2017-12-05 18:30:10,"0,127s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:30:10,2017-12-05 18:30:10,"0,136s",PASSED
focus,Chrome 62.0.3202.94,,2017-12-05 18:30:10,2017-12-05 18:30:10,"0,130s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:30:10,2017-12-05 18:30:11,"0,515s",FAILED
