Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_00_FunzionalitaGenerali,Firefox 57.0,,2017-12-05 18:31:59,2017-12-05 18:34:27,"2m - 27,378s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a1_apertura pagina di login-closeBrowser,Firefox 57.0,Apertura pagina e verifica esistenza degli oggetti corretti,2017-12-05 18:32:00,2017-12-05 18:32:13,"13,117s",PASSED
openBrowser,Firefox 57.0,,2017-12-05 18:32:01,2017-12-05 18:32:08,"6,706s",PASSED
maximizeWindow,Firefox 57.0,,2017-12-05 18:32:08,2017-12-05 18:32:11,"3,676s",PASSED
navigateToUrl,Firefox 57.0,,2017-12-05 18:32:11,2017-12-05 18:32:13,"1,202s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:32:13,2017-12-05 18:32:13,"0,085s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:32:13,2017-12-05 18:32:13,"0,038s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:32:13,2017-12-05 18:32:13,"0,061s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:32:13,2017-12-05 18:32:13,"0,050s",PASSED
closeBrowser,Firefox 57.0,,2017-12-05 18:32:13,2017-12-05 18:32:13,"0,279s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a2_Credenziali corrette,Firefox 57.0,Inserimento credenziali corrette e verifica indirizzamento homepage,2017-12-05 18:32:13,2017-12-05 18:32:27,"14,097s",PASSED
callTestCase,Firefox 57.0,,2017-12-05 18:32:14,2017-12-05 18:32:23,"9,449s",PASSED
setText,Firefox 57.0,,2017-12-05 18:32:23,2017-12-05 18:32:23,"0,177s",PASSED
setText,Firefox 57.0,,2017-12-05 18:32:23,2017-12-05 18:32:23,"0,090s",PASSED
click,Firefox 57.0,,2017-12-05 18:32:23,2017-12-05 18:32:24,"0,377s",PASSED
waitForElementPresent,Firefox 57.0,,2017-12-05 18:32:24,2017-12-05 18:32:27,"3,015s",PASSED
Statement - selfWindowTitle = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Firefox 57.0,,2017-12-05 18:32:27,2017-12-05 18:32:27,"0,034s",PASSED
verifyEqual,Firefox 57.0,,2017-12-05 18:32:27,2017-12-05 18:32:27,"0,016s",PASSED
