Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_00_FunzionalitaGenerali,Chrome 62.0.3202.94,,2017-12-05 19:35:44,2017-12-05 19:37:09,"1m - 24,855s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a1_apertura pagina di login-closeBrowser,Chrome 62.0.3202.94,Apertura pagina e verifica esistenza degli oggetti corretti,2017-12-05 19:35:45,2017-12-05 19:35:53,"8,809s",PASSED
openBrowser,Chrome 62.0.3202.94,,2017-12-05 19:35:46,2017-12-05 19:35:50,"4,419s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-12-05 19:35:50,2017-12-05 19:35:51,"1,174s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-12-05 19:35:51,2017-12-05 19:35:52,"0,804s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 19:35:52,2017-12-05 19:35:52,"0,239s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 19:35:52,2017-12-05 19:35:52,"0,073s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 19:35:52,2017-12-05 19:35:52,"0,068s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 19:35:52,2017-12-05 19:35:52,"0,086s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 19:35:52,2017-12-05 19:35:53,"0,897s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a2_Credenziali corrette,Chrome 62.0.3202.94,Inserimento credenziali corrette e verifica indirizzamento homepage,2017-12-05 19:35:53,2017-12-05 19:36:03,"9,863s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 19:35:54,2017-12-05 19:35:58,"4,429s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 19:35:58,2017-12-05 19:35:59,"0,422s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 19:35:59,2017-12-05 19:35:59,"0,223s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 19:35:59,2017-12-05 19:35:59,"0,227s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-12-05 19:35:59,2017-12-05 19:36:02,"3,124s",PASSED
Statement - selfWindowTitle = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 62.0.3202.94,,2017-12-05 19:36:02,2017-12-05 19:36:03,"0,313s",PASSED
verifyEqual,Chrome 62.0.3202.94,,2017-12-05 19:36:03,2017-12-05 19:36:03,"0,017s",PASSED
Statement - selfUrl = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 62.0.3202.94,,2017-12-05 19:36:03,2017-12-05 19:36:03,"0,052s",PASSED
verifyEqual,Chrome 62.0.3202.94,,2017-12-05 19:36:03,2017-12-05 19:36:03,"0,002s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 19:36:03,2017-12-05 19:36:03,"0,627s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a3_Credenziali vuote,Chrome 62.0.3202.94,Inserimento credenziali vuote e verifica messaggio d'errore,2017-12-05 19:36:03,2017-12-05 19:36:10,"6,274s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 19:36:03,2017-12-05 19:36:08,"4,379s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 19:36:08,2017-12-05 19:36:08,"0,180s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 19:36:08,2017-12-05 19:36:08,"0,249s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 19:36:08,2017-12-05 19:36:09,"0,357s",PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 19:36:09,2017-12-05 19:36:09,"0,222s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 19:36:09,2017-12-05 19:36:10,"0,678s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a4_Credenziali  - pass no,Chrome 62.0.3202.94,"Inserimento user corretto - password errata, visualizzazione del corretto messaggio d'errore",2017-12-05 19:36:10,2017-12-05 19:36:15,"5,786s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 19:36:10,2017-12-05 19:36:14,"4,048s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 19:36:14,2017-12-05 19:36:14,"0,346s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 19:36:14,2017-12-05 19:36:14,"0,205s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 19:36:14,2017-12-05 19:36:15,"0,195s",PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 19:36:15,2017-12-05 19:36:15,"0,163s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 19:36:15,2017-12-05 19:36:15,"0,570s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a5_Credenziali - user no,Chrome 62.0.3202.94,Inserimento credenziali user errato - password corretta e verifica corretto messaggio d'errore,2017-12-05 19:36:15,2017-12-05 19:36:21,"5,820s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 19:36:16,2017-12-05 19:36:20,"4,081s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 19:36:20,2017-12-05 19:36:20,"0,334s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 19:36:20,2017-12-05 19:36:20,"0,207s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 19:36:20,2017-12-05 19:36:21,"0,216s",PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 19:36:21,2017-12-05 19:36:21,"0,160s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 19:36:21,2017-12-05 19:36:21,"0,583s",PASSED
,,,,,,
