Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_07_FunctionalGroups,Chrome 62.0.3202.94,,2017-12-05 18:25:53,2017-12-05 18:26:10,"16,498s",PASSED
,,,,,,
Test Cases/07_FunctionalGroups/TC_071_Functional Groups - Intestazioni,Chrome 62.0.3202.94,,2017-12-05 18:25:54,2017-12-05 18:26:10,"15,943s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:25:55,2017-12-05 18:26:06,"10,949s",PASSED
Statement - viewPort = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getViewportWidth(),Chrome 62.0.3202.94,,2017-12-05 18:26:06,2017-12-05 18:26:06,"0,053s",PASSED
Statement - If (viewPort < 1400),Chrome 62.0.3202.94,,2017-12-05 18:26:06,2017-12-05 18:26:06,"0,218s",PASSED
focus,Chrome 62.0.3202.94,,2017-12-05 18:26:06,2017-12-05 18:26:07,"0,289s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:26:07,2017-12-05 18:26:07,"0,155s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:26:07,2017-12-05 18:26:07,"0,224s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:26:07,2017-12-05 18:26:07,"0,063s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:26:07,2017-12-05 18:26:07,"0,047s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:26:07,2017-12-05 18:26:07,"0,045s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:26:07,2017-12-05 18:26:07,"0,047s",PASSED
comment,Chrome 62.0.3202.94,,2017-12-05 18:26:07,2017-12-05 18:26:07,"0,010s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:26:07,2017-12-05 18:26:09,"1,468s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:26:09,2017-12-05 18:26:09,"0,126s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:26:09,2017-12-05 18:26:09,"0,102s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:26:09,2017-12-05 18:26:09,"0,100s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:26:09,2017-12-05 18:26:10,"0,642s",PASSED
