Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_10_Bootloaders,Chrome 62.0.3202.94,,2017-12-05 18:30:58,2017-12-05 18:31:15,"17,162s",PASSED
,,,,,,
Test Cases/10_Bootloaders/10b_BootloadersNew/TC_10b1_BootloadersNew - Verifica Intestazioni,Chrome 62.0.3202.94,,2017-12-05 18:30:59,2017-12-05 18:31:15,"16,677s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:31:00,2017-12-05 18:31:12,"11,706s",PASSED
Statement - viewPort = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getViewportWidth(),Chrome 62.0.3202.94,,2017-12-05 18:31:12,2017-12-05 18:31:12,"0,029s",PASSED
Statement - If (viewPort < 1400),Chrome 62.0.3202.94,,2017-12-05 18:31:12,2017-12-05 18:31:12,"0,168s",PASSED
focus,Chrome 62.0.3202.94,,2017-12-05 18:31:12,2017-12-05 18:31:12,"0,230s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:31:12,2017-12-05 18:31:12,"0,175s",PASSED
focus,Chrome 62.0.3202.94,,2017-12-05 18:31:12,2017-12-05 18:31:12,"0,153s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:31:12,2017-12-05 18:31:12,"0,162s",PASSED
focus,Chrome 62.0.3202.94,,2017-12-05 18:31:12,2017-12-05 18:31:13,"0,123s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:31:13,2017-12-05 18:31:13,"0,218s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:31:13,2017-12-05 18:31:13,"0,093s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:31:13,2017-12-05 18:31:13,"0,055s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:31:13,2017-12-05 18:31:13,"0,043s",PASSED
comment,Chrome 62.0.3202.94,,2017-12-05 18:31:13,2017-12-05 18:31:13,"0,008s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:31:13,2017-12-05 18:31:15,"1,611s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:31:15,2017-12-05 18:31:15,"0,168s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:31:15,2017-12-05 18:31:15,"0,006s",NOT_RUN
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:31:15,2017-12-05 18:31:15,"0,672s",PASSED
