Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 62.0.3202.94,,2017-12-05 18:56:41,2017-12-05 18:56:42,"0,497s",PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 18:56:42,2017-12-05 18:56:42,"0,369s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:56:42,2017-12-05 18:56:43,"0,691s",PASSED
,,,,,,
Test Cases/00b_HomePage/TC_00b1_Verifica funzionamento Menu BenGen,Chrome 62.0.3202.94,Verifica esistenza delle voci di menu e del menu BenGen,2017-12-05 18:56:43,2017-12-05 18:57:08,"24,754s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:56:44,2017-12-05 18:56:55,"11,287s",PASSED
Statement - selfWindowTitle = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 62.0.3202.94,,2017-12-05 18:56:55,2017-12-05 18:56:55,"0,023s",PASSED
verifyEqual,Chrome 62.0.3202.94,,2017-12-05 18:56:55,2017-12-05 18:56:55,"0,001s",PASSED
Statement - viewportWidth = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getViewportWidth(),Chrome 62.0.3202.94,,2017-12-05 18:56:55,2017-12-05 18:56:55,"0,051s",PASSED
Statement - If (viewportWidth < 1400),Chrome 62.0.3202.94,,2017-12-05 18:56:55,2017-12-05 18:56:55,"0,216s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:56:55,2017-12-05 18:56:55,"0,072s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:56:55,2017-12-05 18:56:57,"2,038s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:56:57,2017-12-05 18:56:57,"0,122s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:56:57,2017-12-05 18:56:58,"0,170s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:56:58,2017-12-05 18:56:58,"0,196s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:56:58,2017-12-05 18:56:58,"0,517s",PASSED
verifyTextPresent,Chrome 62.0.3202.94,,2017-12-05 18:56:58,2017-12-05 18:56:59,"0,424s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:56:59,2017-12-05 18:56:59,"0,203s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:56:59,2017-12-05 18:56:59,"0,189s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:56:59,2017-12-05 18:56:59,"0,079s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:56:59,2017-12-05 18:57:00,"0,552s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:57:00,2017-12-05 18:57:00,"0,191s",PASSED
verifyTextPresent,Chrome 62.0.3202.94,,2017-12-05 18:57:00,2017-12-05 18:57:01,"0,650s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:57:01,2017-12-05 18:57:01,"0,249s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:57:01,2017-12-05 18:57:01,"0,098s",PASSED
verifyElementText,Chrome 62.0.3202.94,,2017-12-05 18:57:01,2017-12-05 18:57:01,"0,263s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:57:01,2017-12-05 18:57:01,"0,072s",PASSED
