Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_10_Bootloaders,Firefox 57.0,,2017-12-05 18:39:40,2017-12-05 18:40:23,"43,461s",PASSED
,,,,,,
Test Cases/10_Bootloaders/10a_BootloadersList/TC_10a1_BootloadersList - Verifica Intestazioni,Firefox 57.0,,2017-12-05 18:39:41,2017-12-05 18:40:04,"23,483s",PASSED
callTestCase,Firefox 57.0,,2017-12-05 18:39:42,2017-12-05 18:39:58,"15,907s",PASSED
Statement - viewPort = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getViewportWidth(),Firefox 57.0,,2017-12-05 18:39:58,2017-12-05 18:39:58,"0,460s",PASSED
Statement - If (viewPort < 1400),Firefox 57.0,,2017-12-05 18:39:58,2017-12-05 18:39:59,"0,372s",PASSED
focus,Firefox 57.0,,2017-12-05 18:39:59,2017-12-05 18:39:59,"0,289s",PASSED
click,Firefox 57.0,,2017-12-05 18:39:59,2017-12-05 18:39:59,"0,269s",PASSED
focus,Firefox 57.0,,2017-12-05 18:39:59,2017-12-05 18:39:59,"0,198s",PASSED
click,Firefox 57.0,,2017-12-05 18:39:59,2017-12-05 18:40:00,"0,306s",PASSED
focus,Firefox 57.0,,2017-12-05 18:40:00,2017-12-05 18:40:00,"0,182s",PASSED
click,Firefox 57.0,,2017-12-05 18:40:00,2017-12-05 18:40:00,"0,133s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:40:00,2017-12-05 18:40:00,"0,540s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:40:00,2017-12-05 18:40:00,"0,019s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:40:00,2017-12-05 18:40:01,"0,021s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:40:01,2017-12-05 18:40:01,"0,022s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:40:01,2017-12-05 18:40:01,"0,022s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:40:01,2017-12-05 18:40:01,"0,015s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:40:01,2017-12-05 18:40:01,"0,034s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:40:01,2017-12-05 18:40:01,"0,025s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:40:01,2017-12-05 18:40:01,"0,023s",PASSED
comment,Firefox 57.0,,2017-12-05 18:40:01,2017-12-05 18:40:01,"0,008s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:40:01,2017-12-05 18:40:02,"1,818s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:40:02,2017-12-05 18:40:03,"0,085s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:40:03,2017-12-05 18:40:03,"0,157s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:40:03,2017-12-05 18:40:03,"0,135s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:40:03,2017-12-05 18:40:03,"0,140s",PASSED
