Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_00_FunzionalitaGenerali,Chrome 62.0.3202.94,,2017-12-05 18:21:09,2017-12-05 18:22:42,"1m - 33,207s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a1_apertura pagina di login-closeBrowser,Chrome 62.0.3202.94,Apertura pagina e verifica esistenza degli oggetti corretti,2017-12-05 18:21:09,2017-12-05 18:21:18,"8,664s",PASSED
openBrowser,Chrome 62.0.3202.94,,2017-12-05 18:21:10,2017-12-05 18:21:14,"4,149s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-12-05 18:21:14,2017-12-05 18:21:15,"1,190s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-12-05 18:21:15,2017-12-05 18:21:16,"0,855s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:21:16,2017-12-05 18:21:17,"0,385s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:21:17,2017-12-05 18:21:17,"0,120s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:21:17,2017-12-05 18:21:17,"0,118s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:21:17,2017-12-05 18:21:17,"0,084s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:21:17,2017-12-05 18:21:18,"0,778s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a2_Credenziali corrette,Chrome 62.0.3202.94,Inserimento credenziali corrette e verifica indirizzamento homepage,2017-12-05 18:21:18,2017-12-05 18:21:28,"10,649s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:21:18,2017-12-05 18:21:23,"4,940s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:21:23,2017-12-05 18:21:24,"0,450s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:21:24,2017-12-05 18:21:24,"0,242s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:21:24,2017-12-05 18:21:24,"0,242s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:21:24,2017-12-05 18:21:27,"2,989s",PASSED
Statement - selfWindowTitle = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 62.0.3202.94,,2017-12-05 18:21:27,2017-12-05 18:21:28,"0,450s",PASSED
verifyEqual,Chrome 62.0.3202.94,,2017-12-05 18:21:28,2017-12-05 18:21:28,"0,018s",PASSED
Statement - selfUrl = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 62.0.3202.94,,2017-12-05 18:21:28,2017-12-05 18:21:28,"0,039s",PASSED
verifyEqual,Chrome 62.0.3202.94,,2017-12-05 18:21:28,2017-12-05 18:21:28,"0,003s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:21:28,2017-12-05 18:21:28,"0,674s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a3_Credenziali vuote,Chrome 62.0.3202.94,Inserimento credenziali vuote e verifica messaggio d'errore,2017-12-05 18:21:29,2017-12-05 18:21:35,"6,617s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:21:29,2017-12-05 18:21:33,"4,678s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:21:33,2017-12-05 18:21:34,"0,210s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:21:34,2017-12-05 18:21:34,"0,269s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:21:34,2017-12-05 18:21:34,"0,255s",PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 18:21:34,2017-12-05 18:21:35,"0,324s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:21:35,2017-12-05 18:21:35,"0,659s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a4_Credenziali  - pass no,Chrome 62.0.3202.94,"Inserimento user corretto - password errata, visualizzazione del corretto messaggio d'errore",2017-12-05 18:21:35,2017-12-05 18:21:42,"6,475s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:21:35,2017-12-05 18:21:40,"4,549s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:21:40,2017-12-05 18:21:40,"0,387s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:21:40,2017-12-05 18:21:41,"0,251s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:21:41,2017-12-05 18:21:41,"0,232s",PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 18:21:41,2017-12-05 18:21:41,"0,182s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:21:41,2017-12-05 18:21:42,"0,630s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a5_Credenziali - user no,Chrome 62.0.3202.94,Inserimento credenziali user errato - password corretta e verifica corretto messaggio d'errore,2017-12-05 18:21:42,2017-12-05 18:21:49,"6,970s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:21:42,2017-12-05 18:21:47,"4,661s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:21:47,2017-12-05 18:21:47,"0,436s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:21:47,2017-12-05 18:21:47,"0,248s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:21:47,2017-12-05 18:21:48,"0,289s",PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 18:21:48,2017-12-05 18:21:48,"0,248s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:21:48,2017-12-05 18:21:49,"0,707s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a6_Credenziali Errate,Chrome 62.0.3202.94,Inserimento entrambe credenziali errate e verifica messaggio d'errore,2017-12-05 18:21:49,2017-12-05 18:21:55,"6,500s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:21:49,2017-12-05 18:21:54,"4,632s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:21:54,2017-12-05 18:21:54,"0,393s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:21:54,2017-12-05 18:21:54,"0,260s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:21:54,2017-12-05 18:21:54,"0,217s",PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 18:21:54,2017-12-05 18:21:55,"0,178s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:21:55,2017-12-05 18:21:55,"0,641s",PASSED
,,,,,,
Test Cases/00b_HomePage/TC_00b1_Verifica funzionamento Menu BenGen,Chrome 62.0.3202.94,Verifica esistenza delle voci di menu e del menu BenGen,2017-12-05 18:21:55,2017-12-05 18:22:17,"22,045s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:21:56,2017-12-05 18:22:05,"9,446s",PASSED
Statement - selfWindowTitle = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 62.0.3202.94,,2017-12-05 18:22:05,2017-12-05 18:22:05,"0,009s",PASSED
verifyEqual,Chrome 62.0.3202.94,,2017-12-05 18:22:05,2017-12-05 18:22:05,"0,003s",PASSED
